Disease,Description
fungal infection,Fungal infection is a common skin condition caused by fungi.
allergy,Allergy is an immune system reaction to a substance in the environment.
gerd,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
drug reaction,Drug Reaction occurs when the body reacts adversely to a medication.
peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.
aids,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.
gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
bronchial asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition."
migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.
paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.
chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.
dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.
typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
hepatitis a,hepatitis A is a viral liver disease.
hepatitis b,Hepatitis B is a viral infection that attacks the liver.
hepatitis c,Hepatitis C is a viral infection that causes liver inflammation.
hepatitis d,Hepatitis D is a serious liver disease caused by the hepatitis D virus.
hepatitis e,Hepatitis E is a viral infection that causes liver inflammation.
alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.
tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.
common cold,Common Cold is a viral infection of the upper respiratory tract.
pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.
dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.
heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.
varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs."
hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.
hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.
hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.
osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.
arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness."
(vertigo) paroymsal positional vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.
acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.
urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.
psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches."
impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.
