Unnamed: 0,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,drug reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
1,malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
2,allergy,apply calamine,cover area with bandage,,use ice to compress itching
3,hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
4,psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
5,gerd,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
6,chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
7,hepatitis a,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
8,osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
9,(vertigo) paroymsal  positional vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
10,hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
11,acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
12,diabetes,have balanced diet,exercise,consult doctor,follow up
13,impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
14,hypertension,meditation,salt baths,reduce stress,get proper sleep
15,peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
16,dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
17,common cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
18,chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
19,cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
20,hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
21,urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
22,varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
23,aids,avoid open cuts,wear ppe if possible,consult doctor,follow up
24,paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
25,typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
26,hepatitis b,consult nearest hospital,vaccination,eat healthy,medication
27,fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
28,hepatitis c,Consult nearest hospital,vaccination,eat healthy,medication
29,migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
30,bronchial asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
31,alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
32,jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
33,hepatitis e,stop alcohol consumption,rest,consult doctor,medication
34,dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
35,hepatitis d,consult doctor,medication,eat healthy,follow up
36,heart attack,call ambulance,chew or swallow asprin,keep calm,
37,pneumonia,consult doctor,medication,rest,follow up
38,arthritis,exercise,use hot and cold therapy,try acupuncture,massage
39,gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
40,tuberculosis,cover mouth,consult doctor,medication,rest
